experiment_layer,family,mode,run,packets,tdc_entropy_diff,tdc_transition_entropy_diff,tdc_delta_entropy_vs_pair_only,tdc_delta_transition_entropy_vs_pair_only,tdc_same_ratio,tdc_longest_run,tdc_autocorr,hard_lock_signature,local_switching_signature,continuous_p1,continuous_bit_min_entropy,restart_transition,restart_pass_count,restart_fail_count,rofreq_sample_shift_ppm,rofreq_data_max_abs_shift_ppm,xadc_after_temperature_c,xadc_after_vccint_v,paper_claim
tdc_mask_perturb,random1,pair_only,tdc_mask_random1_ro0_ro1_pair_only,1048575,6.68639,13.3622,0,0,0.0108566,3,0.000874177,no,low-activity pair baseline,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,46.5,1.000,rules out hard locking
tdc_mask_perturb,random1,all_data_on,tdc_mask_random1_ro0_ro1_all_data_on,1048575,6.74707,13.4827,0.0606804,0.120565,0.0103026,4,-0.000931813,no,weak/moderate TDC distribution reshaping,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,46.8,1.000,rules out hard locking
tdc_mask_perturb,random1,pair_plus_sample,tdc_mask_random1_ro0_ro1_pair_plus_sample,1048575,6.64622,13.2826,-0.0401638,-0.079593,0.0109625,4,-6.68543e-05,no,sample-RO activity changes TDC weakly,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,46.6,1.000,sample RO switching perturbs phase-bin diffusion weakly
tdc_mask_perturb,random3,pair_only,tdc_mask_random3_ro0_ro6_pair_only,1048575,6.69703,13.3832,0,0,0.0107479,4,0.000729496,no,low-activity pair baseline,0.499915069342,0.999754962731,failed <= 10 bytes; passed >= 11 bytes,14,8,-824.55552530723,672.8496564089505,46.4,1.000,rules out hard locking
tdc_mask_perturb,random3,all_data_on,tdc_mask_random3_ro0_ro6_all_data_on,1048575,5.98263,11.9625,-0.714397,-1.42071,0.0160256,4,-0.00128411,no,strong TDC distribution reshaping,0.499915069342,0.999754962731,failed <= 10 bytes; passed >= 11 bytes,14,8,-824.55552530723,672.8496564089505,46.6,1.000,local switching reshapes phase-bin diffusion without hard locking
tdc_mask_perturb,random1_local_sample,pair_plus_sample,tdc_mask_random1_local_sample_ro0_ro1_pair_plus_sample,1048575,6.6682,13.3257,,,0.0110598,4,-0.000176228,no,sampler-on comparison without pair-only baseline,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,46.4,1.000,sampler-local TDC remains non-locking after sampler relocation
tdc_mask_perturb_p1,random3,all_data_on,tdc_mask_random3_ro0_ro6_all_data_on_repeat02,1048575,5.98207,11.9613,-0.714957,-1.42189,0.0159474,4,0.000825972,no,replicated strong all-data switching effect without hard-lock signature,0.499915069342,0.999754962731,failed <= 10 bytes; passed >= 11 bytes,14,8,-824.55552530723,672.8496564089505,46.3,1.000,replicated all-data switching/load reshapes TDC diffusion without hard locking
tdc_mask_perturb_p1,random3,neighbors_on,tdc_mask_random3_ro0_ro6_neighbors_on,1048575,6.64861,13.287,-0.0484188,-0.0961571,0.0111742,4,-0.000817939,no,does not reproduce all-data collapse; points away from this mode as sole cause,0.499915069342,0.999754962731,failed <= 10 bytes; passed >= 11 bytes,14,8,-824.55552530723,672.8496564089505,46.5,1.000,neighbor subset or sample-RO-only activation does not reproduce all-data collapse
tdc_mask_perturb_p1,random3,pair_plus_sample,tdc_mask_random3_ro0_ro6_pair_plus_sample,1048576,6.62633,13.2427,-0.0706962,-0.140483,0.0113382,4,0.000281253,no,does not reproduce all-data collapse; points away from this mode as sole cause,0.499915069342,0.999754962731,failed <= 10 bytes; passed >= 11 bytes,14,8,-824.55552530723,672.8496564089505,46.0,1.000,neighbor subset or sample-RO-only activation does not reproduce all-data collapse
tdc_mask_perturb_p1,random1_local_sample,pair_only,tdc_mask_random1_local_sample_ro0_ro1_pair_only,1048575,6.69899,13.3871,0.0126074,0.0249852,0.0106697,4,-0.00163481,no,local-sample pair-only baseline remains non-locking,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,46.3,1.000,sampler-local pair-only baseline remains non-locking
reset_aligned_tdc,random1,baseline_warmup0,random1_baseline_warmup0,32768,6.75886,13.1434,,,0.00994903,3,-0.0082803,no,reset/warmup startup diffusion probe,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,,,startup phase diffusion measured without hard-lock signature
reset_aligned_tdc,random1,baseline_warmup12,random1_baseline_warmup12,32768,6.66619,12.9741,,,0.0116581,3,3.71515e-06,no,reset/warmup startup diffusion probe,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,,,startup phase diffusion measured without hard-lock signature
reset_aligned_tdc,random3,goodref_warmup0,random3_goodref_warmup0,32768,6.61583,12.8973,,,0.0131535,3,-0.00921983,no,reset/warmup startup diffusion probe,0.499915069342,0.999754962731,failed <= 10 bytes; passed >= 11 bytes,14,8,-824.55552530723,672.8496564089505,,,startup phase diffusion measured without hard-lock signature
reset_aligned_tdc,random3,goodref_warmup12,random3_goodref_warmup12,32768,6.60778,12.8768,,,0.0129398,3,-0.00613231,no,reset/warmup startup diffusion probe,0.499915069342,0.999754962731,failed <= 10 bytes; passed >= 11 bytes,14,8,-824.55552530723,672.8496564089505,,,startup phase diffusion measured without hard-lock signature
reset_aligned_tdc,random1_sampler_local,warmup0,random1_sampler_local_warmup0,32768,6.65464,12.9439,,,0.0130314,3,-0.000825613,no,reset/warmup startup diffusion probe,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,,,startup phase diffusion measured without hard-lock signature
reset_aligned_tdc,random1_sampler_local,warmup12,random1_sampler_local_warmup12,32768,6.73356,13.0993,,,0.010651,3,0.00185527,no,reset/warmup startup diffusion probe,0.33861681819,0.596441734915,all observed warmups passed,6,0,3466.9123682974628,690.3612056574947,,,sampler-local warmup12 gives the strongest clean reset-aligned diffusion in the six-point matrix
