run,windows,packets,phase_r_mean,phase_r_max_abs,best_lag_abs_r_max,best_lag_at_window,best_lag_packets,diff_std_ps_mean,diff_mean_ps_span,diff_mean_ps_slope_per_window,strong_lock_windows,claim_reading
tdc_pair_random1_ro0_ro1_repeat02_2mib,16,262143,0.000136162624,0.018756415,0.0243258451,8,-3,658.924422,12.6275306,0.000612538952,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random1_ro0_ro1_run01_2mib,16,262141,-0.00226527746,0.0183476926,0.0202845562,13,4,660.891754,22.8227747,0.0150766925,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random1_ro2_ro4_repeat02_2mib,16,262143,0.00021728173,0.016932419,0.0311090298,9,-6,479.542271,11.5603092,0.0145669536,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random1_ro2_ro4_run01_2mib,16,262130,-0.00185994773,0.0128516152,0.0313742149,6,-6,480.19043,13.156704,0.0361041264,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random1_ro4_ro5_repeat02_2mib,16,262144,-0.00333573391,0.0293993614,0.0293993614,9,0,491.889432,14.1609623,0.289036572,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random1_ro4_ro5_run01_2mib,16,262143,-0.00189804075,0.0135660817,0.0260278669,2,5,491.349322,10.3176345,-0.00610545416,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random3_ro0_ro6_repeat02_2mib,16,262143,-0.00592916298,0.0188403696,0.0213851261,13,1,575.234433,14.2439007,0.112821733,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random3_ro0_ro6_run01_2mib,16,262142,-0.00275612088,0.021024237,0.0241074164,10,7,575.317286,18.2090412,-0.323064376,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random3_ro3_ro5_repeat02_2mib,16,262144,0.00281679826,0.020228805,0.027469613,14,-1,444.274112,12.1554773,0.0276359075,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random3_ro3_ro5_run01_2mib,16,262143,-0.00015844973,0.0161159656,0.0278676184,12,-6,444.939024,12.539284,-0.000185971893,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random3_ro3_ro7_repeat02_2mib,16,262143,-0.000115302383,0.0143225414,0.0246514958,7,-5,496.700137,15.4542205,0.28387354,0,no strong pair locking detected after fixed-LUT reanalysis
tdc_pair_random3_ro3_ro7_run01_2mib,16,262141,4.11244319e-06,0.0160558411,0.0233563143,7,-8,496.61719,12.6371765,0.11630733,0,no strong pair locking detected after fixed-LUT reanalysis
