label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
tdc_reset_random1_baseline_ro0_clean32k_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,0,0,4095,4096,2.70219645,5.47340874,6.63976637,1.33200146,3.73790515,4.97763219,11.528931,0.00952380952,3,-0.015273017,-2.56494141,35.8641472
tdc_reset_random1_baseline_ro0_clean32k_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,1,4096,8191,4096,2.75811267,5.48054657,6.64831319,1.35524241,3.87587869,5.10518224,11.5329721,0.0105006105,3,0.0205605241,-1.99145508,35.6567707
tdc_reset_random1_baseline_ro0_clean32k_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,2,8192,12287,4096,2.69872167,5.4633401,6.63380841,1.31349947,3.78083148,4.89147554,11.5377423,0.0141636142,3,-0.00804597222,-1.5612793,35.3085566
tdc_reset_random1_baseline_ro0_clean32k_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,3,12288,16383,4096,2.64239733,5.49659895,6.65416639,1.31700542,3.966577,5.02272008,11.5487654,0.011965812,2,-0.010289156,-1.63134766,35.723054
tdc_reset_random1_baseline_ro0_clean32k_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,4,16384,20479,4096,2.71089332,5.45989252,6.63727492,1.31174969,3.92853764,5.10518224,11.5379393,0.00952380952,2,0.00216820469,-1.79199219,35.571417
tdc_reset_random1_baseline_ro0_clean32k_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,5,20480,24575,4096,2.80820521,5.49857039,6.66434811,1.34089604,3.88105893,4.966577,11.5504598,0.0129426129,3,0.0100671351,-1.90869141,34.9273443
tdc_reset_random1_baseline_ro0_clean32k_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,2.7338997,5.47809366,6.64275959,1.33111502,3.830075,4.84012866,11.52157,0.0134310134,3,0.00644924926,-2.54174805,35.2823354
tdc_reset_random1_baseline_ro0_clean32k_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,2.68095282,5.4843048,6.66047976,1.29782731,3.95560588,5.12963528,11.5361574,0.0112332112,3,-0.00735942146,-2.76416016,35.6096192
tdc_reset_random3_goodref_ro0_clean32k_warmup0_preopen_20260525,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,0,0,4095,4096,2.69303671,5.37873977,6.5800681,1.30651304,3.81512466,4.93391081,11.4905666,0.0156288156,3,-0.00444222483,-0.126464844,34.379014
tdc_reset_random3_goodref_ro0_clean32k_warmup0_preopen_20260525,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,1,4096,8191,4096,2.65823083,5.39405467,6.61252336,1.29350398,3.972094,5.06926266,11.5302659,0.0139194139,3,-0.0119079396,0.122558594,34.300313
