run,lane,bin,count,probability,width_ps,ideal_width_ps,dnl_lsb,inl_lsb,phase_center_ps
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,0,17,0.265625,2656.25,78.125,33.0,33.0,1328.125
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,1,0,0.0,0.0,78.125,-1.0,32.0,2656.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,2,0,0.0,0.0,78.125,-1.0,31.0,2656.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,3,2,0.03125,312.5,78.125,3.0,34.0,2812.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,4,2,0.03125,312.5,78.125,3.0,37.0,3125.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,5,0,0.0,0.0,78.125,-1.0,36.0,3281.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,6,1,0.015625,156.25,78.125,1.0,37.0,3359.375
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,7,1,0.015625,156.25,78.125,1.0,38.0,3515.625
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,8,0,0.0,0.0,78.125,-1.0,37.0,3593.75
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,9,0,0.0,0.0,78.125,-1.0,36.0,3593.75
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,10,0,0.0,0.0,78.125,-1.0,35.0,3593.75
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,11,1,0.015625,156.25,78.125,1.0,36.0,3671.875
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,12,0,0.0,0.0,78.125,-1.0,35.0,3750.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,13,0,0.0,0.0,78.125,-1.0,34.0,3750.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,14,0,0.0,0.0,78.125,-1.0,33.0,3750.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,15,0,0.0,0.0,78.125,-1.0,32.0,3750.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,16,1,0.015625,156.25,78.125,1.0,33.0,3828.125
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,17,0,0.0,0.0,78.125,-1.0,32.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,18,0,0.0,0.0,78.125,-1.0,31.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,19,0,0.0,0.0,78.125,-1.0,30.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,20,0,0.0,0.0,78.125,-1.0,29.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,21,0,0.0,0.0,78.125,-1.0,28.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,22,0,0.0,0.0,78.125,-1.0,27.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,23,0,0.0,0.0,78.125,-1.0,26.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,24,0,0.0,0.0,78.125,-1.0,25.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,25,0,0.0,0.0,78.125,-1.0,24.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,26,0,0.0,0.0,78.125,-1.0,23.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,27,0,0.0,0.0,78.125,-1.0,22.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,28,0,0.0,0.0,78.125,-1.0,21.0,3906.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,29,1,0.015625,156.25,78.125,1.0,22.0,3984.375
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,30,0,0.0,0.0,78.125,-1.0,21.0,4062.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,31,0,0.0,0.0,78.125,-1.0,20.0,4062.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,32,0,0.0,0.0,78.125,-1.0,19.0,4062.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,33,0,0.0,0.0,78.125,-1.0,18.0,4062.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,34,0,0.0,0.0,78.125,-1.0,17.0,4062.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,35,1,0.015625,156.25,78.125,1.0,18.0,4140.625
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,36,2,0.03125,312.5,78.125,3.0,21.0,4375.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,37,0,0.0,0.0,78.125,-1.0,20.0,4531.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,38,0,0.0,0.0,78.125,-1.0,19.0,4531.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,39,0,0.0,0.0,78.125,-1.0,18.0,4531.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,40,0,0.0,0.0,78.125,-1.0,17.0,4531.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,41,1,0.015625,156.25,78.125,1.0,18.0,4609.375
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,42,0,0.0,0.0,78.125,-1.0,17.0,4687.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,43,0,0.0,0.0,78.125,-1.0,16.0,4687.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,44,0,0.0,0.0,78.125,-1.0,15.0,4687.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,45,0,0.0,0.0,78.125,-1.0,14.0,4687.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,46,1,0.015625,156.25,78.125,1.0,15.0,4765.625
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,47,1,0.015625,156.25,78.125,1.0,16.0,4921.875
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,48,1,0.015625,156.25,78.125,1.0,17.0,5078.125
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,49,0,0.0,0.0,78.125,-1.0,16.0,5156.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,50,0,0.0,0.0,78.125,-1.0,15.0,5156.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,51,1,0.015625,156.25,78.125,1.0,16.0,5234.375
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,52,1,0.015625,156.25,78.125,1.0,17.0,5390.625
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,53,0,0.0,0.0,78.125,-1.0,16.0,5468.75
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,54,1,0.015625,156.25,78.125,1.0,17.0,5546.875
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,55,1,0.015625,156.25,78.125,1.0,18.0,5703.125
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,56,0,0.0,0.0,78.125,-1.0,17.0,5781.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,57,0,0.0,0.0,78.125,-1.0,16.0,5781.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,58,0,0.0,0.0,78.125,-1.0,15.0,5781.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,59,0,0.0,0.0,78.125,-1.0,14.0,5781.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,60,0,0.0,0.0,78.125,-1.0,13.0,5781.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,61,1,0.015625,156.25,78.125,1.0,14.0,5859.375
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,62,0,0.0,0.0,78.125,-1.0,13.0,5937.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,63,0,0.0,0.0,78.125,-1.0,12.0,5937.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,64,26,0.40625,4062.5,78.125,51.0,63.0,7968.75
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,65,0,0.0,0.0,78.125,-1.0,62.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,66,0,0.0,0.0,78.125,-1.0,61.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,67,0,0.0,0.0,78.125,-1.0,60.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,68,0,0.0,0.0,78.125,-1.0,59.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,69,0,0.0,0.0,78.125,-1.0,58.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,70,0,0.0,0.0,78.125,-1.0,57.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,71,0,0.0,0.0,78.125,-1.0,56.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,72,0,0.0,0.0,78.125,-1.0,55.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,73,0,0.0,0.0,78.125,-1.0,54.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,74,0,0.0,0.0,78.125,-1.0,53.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,75,0,0.0,0.0,78.125,-1.0,52.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,76,0,0.0,0.0,78.125,-1.0,51.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,77,0,0.0,0.0,78.125,-1.0,50.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,78,0,0.0,0.0,78.125,-1.0,49.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,79,0,0.0,0.0,78.125,-1.0,48.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,80,0,0.0,0.0,78.125,-1.0,47.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,81,0,0.0,0.0,78.125,-1.0,46.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,82,0,0.0,0.0,78.125,-1.0,45.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,83,0,0.0,0.0,78.125,-1.0,44.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,84,0,0.0,0.0,78.125,-1.0,43.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,85,0,0.0,0.0,78.125,-1.0,42.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,86,0,0.0,0.0,78.125,-1.0,41.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,87,0,0.0,0.0,78.125,-1.0,40.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,88,0,0.0,0.0,78.125,-1.0,39.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,89,0,0.0,0.0,78.125,-1.0,38.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,90,0,0.0,0.0,78.125,-1.0,37.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,91,0,0.0,0.0,78.125,-1.0,36.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,92,0,0.0,0.0,78.125,-1.0,35.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,93,0,0.0,0.0,78.125,-1.0,34.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,94,0,0.0,0.0,78.125,-1.0,33.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,95,0,0.0,0.0,78.125,-1.0,32.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,96,0,0.0,0.0,78.125,-1.0,31.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,97,0,0.0,0.0,78.125,-1.0,30.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,98,0,0.0,0.0,78.125,-1.0,29.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,99,0,0.0,0.0,78.125,-1.0,28.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,100,0,0.0,0.0,78.125,-1.0,27.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,101,0,0.0,0.0,78.125,-1.0,26.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,102,0,0.0,0.0,78.125,-1.0,25.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,103,0,0.0,0.0,78.125,-1.0,24.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,104,0,0.0,0.0,78.125,-1.0,23.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,105,0,0.0,0.0,78.125,-1.0,22.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,106,0,0.0,0.0,78.125,-1.0,21.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,107,0,0.0,0.0,78.125,-1.0,20.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,108,0,0.0,0.0,78.125,-1.0,19.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,109,0,0.0,0.0,78.125,-1.0,18.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,110,0,0.0,0.0,78.125,-1.0,17.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,111,0,0.0,0.0,78.125,-1.0,16.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,112,0,0.0,0.0,78.125,-1.0,15.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,113,0,0.0,0.0,78.125,-1.0,14.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,114,0,0.0,0.0,78.125,-1.0,13.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,115,0,0.0,0.0,78.125,-1.0,12.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,116,0,0.0,0.0,78.125,-1.0,11.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,117,0,0.0,0.0,78.125,-1.0,10.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,118,0,0.0,0.0,78.125,-1.0,9.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,119,0,0.0,0.0,78.125,-1.0,8.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,120,0,0.0,0.0,78.125,-1.0,7.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,121,0,0.0,0.0,78.125,-1.0,6.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,122,0,0.0,0.0,78.125,-1.0,5.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,123,0,0.0,0.0,78.125,-1.0,4.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,124,0,0.0,0.0,78.125,-1.0,3.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,125,0,0.0,0.0,78.125,-1.0,2.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,126,0,0.0,0.0,78.125,-1.0,1.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,a,127,0,0.0,0.0,78.125,-1.0,0.0,10000.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,0,0,0.0,0.0,78.125,-1.0,-1.0,0.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,1,2,0.03125,312.5,78.125,3.0,2.0,156.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,2,0,0.0,0.0,78.125,-1.0,1.0,312.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,3,4,0.0625,625.0,78.125,7.0,8.0,625.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,4,2,0.03125,312.5,78.125,3.0,11.0,1093.75
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,5,0,0.0,0.0,78.125,-1.0,10.0,1250.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,6,0,0.0,0.0,78.125,-1.0,9.0,1250.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,7,0,0.0,0.0,78.125,-1.0,8.0,1250.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,8,0,0.0,0.0,78.125,-1.0,7.0,1250.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,9,0,0.0,0.0,78.125,-1.0,6.0,1250.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,10,0,0.0,0.0,78.125,-1.0,5.0,1250.0
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,11,1,0.015625,156.25,78.125,1.0,6.0,1328.125
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,12,0,0.0,0.0,78.125,-1.0,5.0,1406.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,13,0,0.0,0.0,78.125,-1.0,4.0,1406.25
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,14,2,0.03125,312.5,78.125,3.0,7.0,1562.5
tdc_reset_random1_baseline_ro0_smoke_warmup0_preopen_20260525,b,15,1,0.015625,156.25,78.125,1.0,8.0,1796.875
