label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,0,0,4095,4096,2.67519968,5.58758652,6.70783445,1.26952986,4.26529038,5.43014439,11.5882087,0.00952380952,2,-0.00594260318,1.62548828,35.1383712
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,1,4096,8191,4096,2.66311528,5.60131729,6.70706468,1.29956028,4.19264508,5.34178852,11.6048842,0.00805860806,2,-0.0125852098,0.989501953,35.3842765
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,2,8192,12287,4096,2.66622642,5.5922989,6.71374515,1.27037926,4.3205199,5.43014439,11.5872774,0.01001221,2,-0.000975171262,1.53564453,35.023609
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,3,12288,16383,4096,2.70609373,5.58513839,6.69024536,1.28146712,4.17345151,5.23181568,11.57665,0.0114774115,3,0.0105108344,0.998291016,35.5852893
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,4,16384,20479,4096,2.74138307,5.61562954,6.74359347,1.31174969,4.29264087,5.4150375,11.6216965,0.00903540904,3,-0.00285705524,0.565185547,35.6211054
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,5,20480,24575,4096,2.71815974,5.58218894,6.67978899,1.33555272,4.21864029,5.20558413,11.5445407,0.011965812,2,-0.0133590424,0.538574219,34.6439201
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,6,24576,28671,4096,2.76156373,5.61034505,6.72398291,1.34268155,4.16079621,5.20558413,11.58611,0.0112332112,2,0.0140826675,0.285400391,35.0082822
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,7,28672,32767,4096,2.65424268,5.58971161,6.70241479,1.25096862,4.14825096,5.25853301,11.5842887,0.010989011,3,-0.0105001181,1.92773438,35.3229669
tdc_reset_random1_baseline_ro0_warmup0_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup0_32k._preopen_20260525.bin,8,32768,32769,2,1,1,1,1,1,1,-0,0,1,,21.5,3.53553391
tdc_reset_random1_baseline_ro0_warmup12_preopen_20260525,tdc_reset_random1_baseline_ro0_warmup12_32k._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_warmup12_32k._preopen_20260525.bin,0,0,4095,4096,2.59120312,5.41489767,6.59369756,1.28661349,3.63805623,4.78083148,11.4344707,0.0139194139,2,-0.00620862254,-0.263427734,35.3506999
