label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,0,9595,25978,16384,2.64969185,5.49037078,6.65645084,1.32382252,4.08860801,5.16394964,12.6418159,0.0119636208,3,0.00921367358,-1.12286377,35.4491138
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,1,25979,42362,16384,2.66585205,5.49856392,6.66508573,1.30477171,4.15137706,5.25180715,12.6658347,0.0102545321,3,-0.000175871299,-1.00201416,35.259922
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,2,42363,58746,16384,2.6929038,5.50506614,6.67091277,1.32184004,4.19103583,5.24845594,12.6646661,0.0106207654,3,-0.00747643138,-0.719421387,35.6142781
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,3,58747,75130,16384,2.68133826,5.48869012,6.66098063,1.29782731,4.08711066,5.17982104,12.6542331,0.0110480376,3,-2.16018673e-05,-0.657226562,35.4974803
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,4,75131,91514,16384,2.67136237,5.49298662,6.66568143,1.30760244,4.15294265,5.31700542,12.657563,0.0115973875,3,-0.00086411668,-0.563049316,35.5866564
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,5,91515,107898,16384,2.67730452,5.48967136,6.66339521,1.33000772,4.13891309,5.14513162,12.6592704,0.0122077764,3,0.00477624734,-1.02874756,35.351295
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,6,107899,124282,16384,2.62638559,5.49609787,6.67186515,1.30673086,4.15764966,5.27890081,12.6689675,0.0114142709,3,-0.000841846311,-1.17578125,35.4364059
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,7,124283,140666,16384,2.66133437,5.49792497,6.67139057,1.29307236,4.14046521,5.22851053,12.667674,0.0120856986,3,-0.0021412359,-0.63671875,35.528699
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,8,140667,157050,16384,2.67260252,5.47402874,6.65289265,1.3317798,4.19748363,5.33111502,12.6433824,0.0112311542,3,-0.000954720224,-1.23754883,35.3658079
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,9,157051,173434,16384,2.68281209,5.49347626,6.67323821,1.33288846,4.18141782,5.35254157,12.677266,0.0102545321,3,0.00265020465,-1.31323242,35.305602
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,10,173435,189818,16384,2.66671279,5.49643406,6.67121454,1.32008012,4.24177679,5.31349947,12.6804319,0.0114753098,3,-0.00961776787,-0.959228516,35.3984072
random1_baseline,tdc_reset_enable_random1_baseline_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_2mib.bin,11,189819,206202,16384,2.66372279,5.48568428,6.66017231,1.28511057,4.11888604,5.19586898,12.6337047,0.0111090765,3,-0.00539077657,-0.495056152,35.4695895
