label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,0,9869,26252,16384,2.64317373,5.49934992,6.65308675,1.30716658,3.89016935,4.95560588,12.6402553,0.0115363487,3,0.0121414812,0.14855957,34.9099437
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,1,26253,42636,16384,2.6256589,5.51590702,6.676571,1.30303247,3.92987906,5.1082163,12.6904227,0.0120246597,3,-0.0100627128,0.399658203,34.8802934
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,2,42637,59020,16384,2.58051936,5.51989351,6.66543248,1.26910535,3.91519161,5.08412062,12.673404,0.0112921931,3,0.00344789135,0.642944336,35.0420917
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,3,59021,75404,16384,2.67028876,5.50466494,6.66532901,1.29782731,3.86429071,5.06630935,12.6625672,0.0112311542,3,-0.00890733035,0.813720703,35.0880612
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,4,75405,91788,16384,2.61447106,5.50943761,6.66428874,1.29242517,3.87200568,5.00847815,12.6640447,0.0112311542,3,0.000304511483,0.811340332,35.0509259
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,5,91789,108172,16384,2.65854611,5.51172,6.66812956,1.30324976,3.94879106,5.12041675,12.6741603,0.00958310444,4,0.00533566597,0.635742188,34.9329038
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,6,108173,124556,16384,2.63440664,5.50905508,6.66986349,1.2915627,3.87200568,5.05455616,12.6731366,0.0119025819,3,0.000462722884,0.656066895,35.1186033
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,7,124557,140940,16384,2.63796701,5.51040144,6.66942698,1.29177827,3.85661679,5,12.6725988,0.010864921,3,-0.0090701673,0.777954102,34.7690738
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,8,140941,157324,16384,2.65921179,5.50892074,6.66991847,1.30086137,3.89278292,5.11735695,12.6661724,0.010864921,3,0.000943509766,0.708557129,34.6709873
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,9,157325,173708,16384,2.65384066,5.50157691,6.66604414,1.31459417,3.86429071,4.972094,12.6660679,0.0109259598,4,-0.00718200507,0.251403809,35.139319
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,10,173709,190092,16384,2.60682255,5.5025845,6.65805819,1.29415166,3.90724286,5.02845645,12.6557007,0.0128181652,3,-0.00287204253,0.678894043,34.924531
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,11,190093,206476,16384,2.62493839,5.50521155,6.66047592,1.30129533,3.90065219,5.01131531,12.6514994,0.00952206556,3,0.0065643723,0.246154785,35.1284093
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,12,206477,222860,16384,2.59689095,5.52289608,6.67923785,1.27719247,3.94065554,5.09913319,12.6940762,0.0125740096,3,0.00593023853,0.420715332,34.8424476
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,13,222861,239244,16384,2.58852071,5.51904755,6.6701814,1.27975574,3.87846648,4.99718498,12.6829049,0.011353232,3,-0.00494377601,0.636779785,35.2043168
