label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,0,9293,25676,16384,2.64492345,5.39806442,6.58896755,1.27932821,3.43585051,4.58425823,12.529735,0.0136727095,3,0.0153447813,-0.461425781,34.0588297
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,1,25677,42060,16384,2.71886407,5.40236544,6.59532311,1.34022704,3.46959366,4.6623781,12.5502994,0.0134895929,3,-0.00776827104,-1.652771,33.914182
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,2,42061,58444,16384,2.69407778,5.41169276,6.61141646,1.31174969,3.48430016,4.76638032,12.5787391,0.0119636208,3,-0.000766600294,-1.25073242,33.9622786
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,3,58445,74828,16384,2.67429808,5.40015712,6.60376717,1.27847354,3.49617426,4.73321346,12.5625463,0.012390893,3,0.00176069521,-0.725463867,34.1305853
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,4,74829,91212,16384,2.68071375,5.40138472,6.59965974,1.30042755,3.52021974,4.74970158,12.5561777,0.0125740096,3,-0.00362121289,-0.77520752,33.9083947
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,5,91213,107596,16384,2.64014881,5.42007763,6.61217278,1.2915627,3.53137596,4.75682602,12.5777239,0.0112921931,3,-0.000941997227,-1.17297363,33.9294644
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,6,107597,123980,16384,2.6559647,5.39981492,6.58842006,1.31722482,3.46375278,4.68485044,12.5280917,0.0117805042,3,-0.00383766947,-1.50402832,34.0959647
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,7,123981,140364,16384,2.66717693,5.41152816,6.60461673,1.28940878,3.4971682,4.72387559,12.5698502,0.0129402429,3,0.0049231798,-0.69354248,34.1896077
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,8,140365,156748,16384,2.67831336,5.40664002,6.60579172,1.29956028,3.51115565,4.69393831,12.5765241,0.013428554,3,0.006193484,-1.12005615,34.0929025
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,9,156749,173132,16384,2.70519442,5.40929543,6.60552765,1.29436761,3.49220536,4.70998115,12.5744179,0.0109259598,3,0.00216324383,-0.752075195,33.7887225
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,10,173133,189516,16384,2.6919184,5.40538088,6.60803804,1.30368444,3.54570071,4.74261216,12.5637719,0.0120246597,3,-0.0028663372,-0.844177246,33.8577828
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,11,189517,205900,16384,2.65692244,5.40235577,6.59626895,1.28168119,3.52426657,4.74497143,12.5601949,0.0130623207,3,-0.00454048992,-0.723693848,33.9819799
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,12,205901,222284,16384,2.71363863,5.41427403,6.61044417,1.31131258,3.56120815,4.82009091,12.5692058,0.0112311542,3,-0.000260985218,-0.998596191,33.9773407
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,13,222285,238668,16384,2.65373404,5.4049758,6.59179985,1.28725807,3.46472462,4.66684465,12.547642,0.0140389428,3,0.00966285586,-0.692504883,33.9153529
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,14,238669,255052,16384,2.6830373,5.38371331,6.59239787,1.2945836,3.40941295,4.69393831,12.541177,0.0127571263,3,-0.00677980951,-0.934326172,33.9725352
random1_baseline_ro4,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,15,255053,262142,7090,2.72979502,5.39298799,6.60050385,1.27046027,3.46738937,4.71475432,11.9886781,0.0138242347,3,-0.00187075462,-0.302538787,33.7219888
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,0,9388,25771,16384,2.65472107,5.56519288,6.70385251,1.29804382,4.45890338,5.61629571,12.7493932,0.0109869987,3,0.00444973936,-1.82989502,33.9563102
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,1,25772,42155,16384,2.64553466,5.55810908,6.69166251,1.26910535,4.5570565,5.66908312,12.7197537,0.0110480376,3,0.000900274641,-1.27667236,33.9855063
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,2,42156,58539,16384,2.65974311,5.55748638,6.69904946,1.30673086,4.5344336,5.61629571,12.7413402,0.011353232,3,0.00464580524,-1.83691406,33.9996807
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,3,58540,74923,16384,2.61907167,5.55156358,6.69313379,1.28876323,4.43966717,5.59485854,12.7332875,0.0111701154,3,0.00267474544,-1.72930908,34.2394262
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,4,74924,91307,16384,2.6290542,5.55098243,6.68557764,1.2774059,4.4627816,5.56537177,12.7311906,0.0114142709,3,-0.00116375357,-1.43341064,34.1384213
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,5,91308,107691,16384,2.62516753,5.55332863,6.69759391,1.29371984,4.50414497,5.50015411,12.7481582,0.0106818043,3,0.0102746391,-1.90423584,34.1474972
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,6,107692,124075,16384,2.62969631,5.56389989,6.70165354,1.30869267,4.52426657,5.66460965,12.7527576,0.0109869987,3,-0.00497753564,-2.2097168,34.085508
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,7,124076,140459,16384,2.61274372,5.5557907,6.69473304,1.2774059,4.50015411,5.60768258,12.7357762,0.0105597265,3,0.000951176327,-1.66296387,34.1718666
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,8,140460,156843,16384,2.63911262,5.5580377,6.70182601,1.29717799,4.43966717,5.57373525,12.7549606,0.0112921931,3,0.00995126322,-1.88885498,34.0389802
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,9,156844,173227,16384,2.62773405,5.5593281,6.70063451,1.28553981,4.3871315,5.49617426,12.7553154,0.0104376488,3,-0.00660361311,-1.56610107,34.3012001
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,10,173228,189611,16384,2.64576725,5.5617386,6.70465719,1.2945836,4.41879942,5.62496057,12.7606009,0.0111701154,3,-0.00639323224,-1.76983643,33.9948051
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,11,189612,205995,16384,2.6196117,5.55018403,6.69272646,1.2631753,4.47839956,5.59060906,12.7349004,0.0104986877,3,0.00371613453,-1.56268311,34.2150008
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,12,205996,222379,16384,2.68582932,5.55438219,6.69056635,1.27890081,4.46472462,5.59912056,12.722767,0.0110480376,3,0.00476828825,-1.39941406,33.7769651
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,13,222380,238763,16384,2.60106557,5.54883242,6.68872507,1.28575448,4.51618422,5.64685317,12.7275734,0.0123298541,3,0.012735169,-1.79968262,34.0896597
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,14,238764,255147,16384,2.64282962,5.55188648,6.68905709,1.28318054,4.42068406,5.54878889,12.7187049,0.010315571,3,-0.00464469058,-1.72210693,34.0075265
random1_sampler_local_ro4,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,15,255148,262143,6996,2.61847045,5.55440191,6.68206043,1.28046148,4.54349588,5.61244324,12.1052905,0.0120085776,2,0.00103756135,-1.86778159,34.0760674
