label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,0,0,255,256,2.81497072,5.33772835,6.20680559,1.40008716,3.47643804,4.19264508,7.91296172,0.031372549,2,0.0376143662,-5.25390625,32.6370712
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,1,256,511,256,2.63744461,5.36125748,6.29570237,1.2451125,3.4150375,4.54056838,7.9865103,0.00392156863,2,0.100244206,-0.921875,33.4378227
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,2,512,767,256,2.373938,5.35418741,6.2773499,1.2451125,3.54056838,4.830075,7.90807893,0.00784313725,2,0.0719442398,-4.41015625,36.5334085
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,3,768,1023,256,2.55720752,5.32353958,6.2669318,1.0931094,4.0931094,4.67807191,7.95513775,0.00392156863,2,0.11165952,2.3515625,33.6747045
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,4,1024,1279,256,2.35896026,5.36952575,6.34073592,1.28575448,3.54056838,5,7.97082403,0.0117647059,2,0.00678519126,-2.1015625,34.0677157
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,5,1280,1535,256,2.67877561,5.42450141,6.30801548,1.32757466,3.75207249,4.54056838,7.97866716,0.0196078431,2,0.0651881925,-1.33203125,35.0669263
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,6,1536,1791,256,2.48007997,5.32817729,6.33117257,1.29956028,4,4.830075,7.97866716,0.0274509804,2,0.00346361267,-1.625,35.0890184
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,7,1792,2047,256,2.49673881,5.35630821,6.29595067,1.29956028,3.60768258,4.67807191,7.96298089,0.0196078431,2,0.130159572,-4.63671875,36.1765396
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,8,2048,2303,256,2.60695205,5.45479752,6.33172613,1.31349947,4.29956028,5,7.97082403,0.00392156863,2,-0.0581235839,-2.1953125,34.851969
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,9,2304,2559,256,2.45037578,5.28900784,6.26508006,1.2451125,3.67807191,4.67807191,7.95513775,0.0117647059,2,0.0031399882,-2.53125,34.9105159
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,10,2560,2815,256,2.72206605,5.41183726,6.36104707,1.35614381,4.29956028,5.4150375,7.96298089,0.00784313725,2,0.0316097181,-2.640625,36.0793753
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,11,2816,3071,256,2.22874099,5.3471897,6.22372323,1.2451125,3.830075,4.0931094,7.96298089,0.0274509804,2,0.102705232,-0.7734375,34.8146273
