placement,repeat,enable_edge_index,post_enable_packets,entropy_diff,early_entropy_diff,warmup_entropy_diff,transition_entropy_diff,warmup_transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag
random1_baseline,repeat01,9595,252548,6.67227309,6.54038023,6.54208916,13.2960722,9.85683134,0.011344423,4,-0.00117892651
random1_baseline,repeat02,5701,256442,6.67673154,6.55711356,6.5544557,13.3062364,9.85096624,0.0115972095,4,-0.00149368387
random1_baseline_ro4,repeat01,9293,252850,6.60639454,6.47377608,6.47195596,13.1670326,9.80891389,0.0125410818,3,0.00059715797
random1_baseline_ro4,repeat02,9234,252909,6.60514349,6.50542104,6.50871022,13.1651278,9.88102966,0.0123048698,4,-0.000544036662
random1_sampler_local,repeat01,9644,252499,6.71816999,6.60531513,6.60265588,13.3894776,9.85561422,0.0109585026,3,-0.000525188893
random1_sampler_local,repeat02,9141,253002,6.71951858,6.64655741,6.64163311,13.3913201,9.88077095,0.0106956099,3,-0.000126278474
random1_sampler_local_ro4,repeat01,9388,252756,6.70051774,6.63186026,6.63208749,13.3567576,9.90205584,0.0110462701,3,0.00208215008
random1_sampler_local_ro4,repeat02,9498,252645,6.70188882,6.63040645,6.6339487,13.358853,9.90792094,0.0109521699,4,0.00135009439
random3_goodref,repeat01,9582,252561,6.69449704,6.58148132,6.58243445,13.3465877,9.8942357,0.010995407,3,0.000272925715
random3_goodref,repeat02,7743,254400,6.69606709,6.63508898,6.64063108,13.3487644,9.90913806,0.0108530301,3,0.00104277668
random3_goodref_ro3,repeat01,9869,252274,6.67248006,6.54410804,6.54869296,13.2986791,9.84827329,0.0113844922,4,0.000385929521
random3_goodref_ro3,repeat02,9944,252199,6.67483591,6.55375804,6.54803741,13.3026252,9.86195853,0.0112768539,3,-0.0020680372
