label,run,source,source_format,tdcr_header_found,tdcr_version,tdcr_pair_id,tdcr_family_id,tdcr_warmup_packets,tdcr_capture_packets,tdcr_sample_div,packets,seq_gaps,seq_wraps,enable_edge_index,pre_enable_packets,post_enable_packets,bins,warmup_start,early_packets,window_packets,lag,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,early_entropy_a,early_entropy_b,early_entropy_diff,early_min_entropy_a,early_min_entropy_b,early_min_entropy_diff,transition_entropy_diff,transition_min_entropy_diff,same_diff_transition_ratio,residence_runs,residence_mean_len,residence_median_len,residence_p95_len,longest_same_diff_bin_run,autocorr_diff_lag,autocorr_a_lag,autocorr_b_lag,first_window_packets,later_window_packets,first_entropy_a,first_entropy_b,first_entropy_diff,later_entropy_a,later_entropy_b,later_entropy_diff,first_minus_later_entropy_a,first_minus_later_entropy_b,first_minus_later_entropy_diff,first_later_tvd_a,first_later_tvd_b,first_later_tvd_diff,first_diff_mean_bin,later_diff_mean_bin,first_minus_later_diff_mean_bin,warmup_packets,warmup_entropy_a,warmup_entropy_b,warmup_entropy_diff,warmup_transition_entropy_diff,warmup_same_diff_transition_ratio,warmup_longest_same_diff_bin_run,warmup_autocorr_diff_lag
tdc_reset_enable_random1_baseline_ro4_2mib,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,raw,0,,,,,,,262143,0,4,9293,9293,252850,128,4,1024,16384,1,2.68137417,5.40718387,6.60639454,1.29783818,3.49253081,4.71775167,2.5392515,5.34389768,6.47377608,1.29956028,3.34178852,4.2451125,13.1670326,9.32586473,0.0125410818,249679,1.01270031,1,1,3,0.00059715797,-0.000381248696,-7.770366e-05,16384,236466,2.64492345,5.39806442,6.58896755,2.68366384,5.40757973,6.60715298,-0.0387403832,-0.00951531526,-0.0181854315,0.0142033965,0.022760808,0.0347303807,-0.461425781,-0.968012315,0.506586533,1024,2.54582522,5.34200979,6.47621535,9.81160684,0.0156402737,2,0.0615683506
tdc_reset_enable_random1_baseline_ro4_2mib,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,raw,0,,,,,,,262143,0,4,9293,9293,252850,128,5,1024,16384,1,2.68137417,5.40718387,6.60639454,1.29783818,3.49253081,4.71775167,2.5392515,5.34389768,6.47377608,1.29956028,3.34178852,4.2451125,13.1670326,9.32586473,0.0125410818,249679,1.01270031,1,1,3,0.00059715797,-0.000381248696,-7.770366e-05,16384,236466,2.64492345,5.39806442,6.58896755,2.68366384,5.40757973,6.60715298,-0.0387403832,-0.00951531526,-0.0181854315,0.0142033965,0.022760808,0.0347303807,-0.461425781,-0.968012315,0.506586533,1024,2.53787464,5.34173395,6.47723891,9.81160684,0.0156402737,2,0.0631934592
tdc_reset_enable_random1_baseline_ro4_2mib,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,raw,0,,,,,,,262143,0,4,9293,9293,252850,128,10,1024,16384,1,2.68137417,5.40718387,6.60639454,1.29783818,3.49253081,4.71775167,2.5392515,5.34389768,6.47377608,1.29956028,3.34178852,4.2451125,13.1670326,9.32586473,0.0125410818,249679,1.01270031,1,1,3,0.00059715797,-0.000381248696,-7.770366e-05,16384,236466,2.64492345,5.39806442,6.58896755,2.68366384,5.40757973,6.60715298,-0.0387403832,-0.00951531526,-0.0181854315,0.0142033965,0.022760808,0.0347303807,-0.461425781,-0.968012315,0.506586533,1024,2.54582862,5.33692553,6.47473066,9.81160684,0.0156402737,2,0.0646761255
tdc_reset_enable_random1_baseline_ro4_2mib,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,raw,0,,,,,,,262143,0,4,9293,9293,252850,128,11,1024,16384,1,2.68137417,5.40718387,6.60639454,1.29783818,3.49253081,4.71775167,2.5392515,5.34389768,6.47377608,1.29956028,3.34178852,4.2451125,13.1670326,9.32586473,0.0125410818,249679,1.01270031,1,1,3,0.00059715797,-0.000381248696,-7.770366e-05,16384,236466,2.64492345,5.39806442,6.58896755,2.68366384,5.40757973,6.60715298,-0.0387403832,-0.00951531526,-0.0181854315,0.0142033965,0.022760808,0.0347303807,-0.461425781,-0.968012315,0.506586533,1024,2.53909736,5.3359691,6.47379556,9.81160684,0.0156402737,2,0.0642793433
tdc_reset_enable_random1_baseline_ro4_2mib,tdc_reset_enable_random1_baseline_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,raw,0,,,,,,,262143,0,4,9293,9293,252850,128,12,1024,16384,1,2.68137417,5.40718387,6.60639454,1.29783818,3.49253081,4.71775167,2.5392515,5.34389768,6.47377608,1.29956028,3.34178852,4.2451125,13.1670326,9.32586473,0.0125410818,249679,1.01270031,1,1,3,0.00059715797,-0.000381248696,-7.770366e-05,16384,236466,2.64492345,5.39806442,6.58896755,2.68366384,5.40757973,6.60715298,-0.0387403832,-0.00951531526,-0.0181854315,0.0142033965,0.022760808,0.0347303807,-0.461425781,-0.968012315,0.506586533,1024,2.53236271,5.33379634,6.47195596,9.80891389,0.0156402737,2,0.0645554943
tdc_reset_enable_random1_sampler_local_ro4_2mib,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,raw,0,,,,,,,262144,0,4,9388,9388,252756,128,4,1024,16384,1,2.63811544,5.55862014,6.70051774,1.28697202,4.48910738,5.63677303,2.64182839,5.55230343,6.63186026,1.27890081,4.38529016,5.47643804,13.3567576,11.0404895,0.0110462701,249964,1.01116961,1,1,3,0.00208215008,0.000295229347,-0.000924385324,16384,236372,2.65472107,5.56519288,6.70385251,2.63671607,5.55799634,6.69988067,0.018004993,0.00719654409,0.00397184033,0.0133271229,0.0206882738,0.0344044671,-1.82989502,-1.70232515,-0.127569871,1024,2.62719626,5.55549253,6.63514892,9.90205584,0.00782013685,2,-0.0294910543
tdc_reset_enable_random1_sampler_local_ro4_2mib,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,raw,0,,,,,,,262144,0,4,9388,9388,252756,128,5,1024,16384,1,2.63811544,5.55862014,6.70051774,1.28697202,4.48910738,5.63677303,2.64182839,5.55230343,6.63186026,1.27890081,4.38529016,5.47643804,13.3567576,11.0404895,0.0110462701,249964,1.01116961,1,1,3,0.00208215008,0.000295229347,-0.000924385324,16384,236372,2.65472107,5.56519288,6.70385251,2.63671607,5.55799634,6.69988067,0.018004993,0.00719654409,0.00397184033,0.0133271229,0.0206882738,0.0344044671,-1.82989502,-1.70232515,-0.127569871,1024,2.62178879,5.55429852,6.63421381,9.90205584,0.00782013685,2,-0.0289724749
tdc_reset_enable_random1_sampler_local_ro4_2mib,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,raw,0,,,,,,,262144,0,4,9388,9388,252756,128,10,1024,16384,1,2.63811544,5.55862014,6.70051774,1.28697202,4.48910738,5.63677303,2.64182839,5.55230343,6.63186026,1.27890081,4.38529016,5.47643804,13.3567576,11.0404895,0.0110462701,249964,1.01116961,1,1,3,0.00208215008,0.000295229347,-0.000924385324,16384,236372,2.65472107,5.56519288,6.70385251,2.63671607,5.55799634,6.69988067,0.018004993,0.00719654409,0.00397184033,0.0133271229,0.0206882738,0.0344044671,-1.82989502,-1.70232515,-0.127569871,1024,2.62902572,5.55247454,6.63070873,9.90205584,0.00782013685,2,-0.0239962837
tdc_reset_enable_random1_sampler_local_ro4_2mib,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,raw,0,,,,,,,262144,0,4,9388,9388,252756,128,11,1024,16384,1,2.63811544,5.55862014,6.70051774,1.28697202,4.48910738,5.63677303,2.64182839,5.55230343,6.63186026,1.27890081,4.38529016,5.47643804,13.3567576,11.0404895,0.0110462701,249964,1.01116961,1,1,3,0.00208215008,0.000295229347,-0.000924385324,16384,236372,2.65472107,5.56519288,6.70385251,2.63671607,5.55799634,6.69988067,0.018004993,0.00719654409,0.00397184033,0.0133271229,0.0206882738,0.0344044671,-1.82989502,-1.70232515,-0.127569871,1024,2.62892911,5.55316466,6.63132317,9.90205584,0.00782013685,2,-0.0244018796
tdc_reset_enable_random1_sampler_local_ro4_2mib,tdc_reset_enable_random1_sampler_local_ro4_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,raw,0,,,,,,,262144,0,4,9388,9388,252756,128,12,1024,16384,1,2.63811544,5.55862014,6.70051774,1.28697202,4.48910738,5.63677303,2.64182839,5.55230343,6.63186026,1.27890081,4.38529016,5.47643804,13.3567576,11.0404895,0.0110462701,249964,1.01116961,1,1,3,0.00208215008,0.000295229347,-0.000924385324,16384,236372,2.65472107,5.56519288,6.70385251,2.63671607,5.55799634,6.69988067,0.018004993,0.00719654409,0.00397184033,0.0133271229,0.0206882738,0.0344044671,-1.82989502,-1.70232515,-0.127569871,1024,2.62902572,5.55367488,6.63208749,9.90205584,0.00782013685,2,-0.0262504447
