"label","center_sample_site","cell","name","ref_name","loc","bel","manhattan_dx","manhattan_dy"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X36Y35","SLICEM.B6LUT","0","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","LUT6","SLICE_X36Y35","SLICEM.C6LUT","0","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6","LUT6","SLICE_X36Y35","SLICEM.D6LUT","0","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6","LUT6","SLICE_X37Y35","SLICEL.A6LUT","1","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6","LUT6","SLICE_X37Y35","SLICEL.B6LUT","1","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6","LUT6","SLICE_X37Y35","SLICEL.C6LUT","1","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6","LUT6","SLICE_X37Y35","SLICEL.D6LUT","1","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","LUT6","SLICE_X38Y35","SLICEM.A6LUT","2","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","LUT6","SLICE_X36Y35","SLICEM.A6LUT","0","0"
"heldout_x36y35_data_ro0_original","SLICE_X36Y35","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X36Y35","SLICEM.B6LUT","0","0"
