"label","net","group","to_pin","fast_min","fast_max","slow_min","slow_max","estimated"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I2","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I3","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I4","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I5","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/in0[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I0","336","403","667","809","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[0]/D","369","440","627","756","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[8]/D","393","462","754","905","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[16]/D","339","398","640","767","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[24]/D","353","412","663","792","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[32]/D","460","539","848","1014","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[40]/D","702","823","1250","1490","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[48]/D","470","549","856","1020","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[56]/D","661","775","1146","1366","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I1","456","541","847","1021","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_fifo_generator_0_i_1/I0","394","470","707","855","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6/I0","761","889","1324","1578","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6/I0","1426","1654","2398","2841","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6/I0","1284","1489","2143","2538","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_NUM_LOOP[4].RO_AND.u_LUT6_and2_1/u_LUT6/I0","698","818","1231","1470","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_NUM_LOOP[5].RO_AND.u_LUT6_and2_1/u_LUT6/I0","1114","1292","1865","2208","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/I0","1469","1706","2481","2940","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/I0","677","798","1199","1438","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6/I0","577","677","1014","1212","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I0","585","685","1022","1220","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I1","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I2","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I3","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I4","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I5","0","0","0","0","1"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[0]/D","369","440","627","756","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[8]/D","393","462","754","905","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[16]/D","339","398","640","767","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[24]/D","353","412","663","792","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[32]/D","460","539","848","1014","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[40]/D","702","823","1250","1490","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[48]/D","470","549","856","1020","0"
"sample_ro_local_data_ro0_explore1","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[56]/D","661","775","1146","1366","0"
