board,context,context_label,warmup,run_id,anchor,kind,index,implementation,directive_tag,place_directive,phys_opt_directive,route_directive,route_label,status,status_detail,p1,signed_bias,abs_bias,min_entropy,worst_x,worst_p1,worst_abs_bias,row_ones_mean,row_ones_std,raw_bytes,payload_bytes,header_ok,restart_count,row_bytes,file,metadata_file,output_sha256,bitstream,bitstream_sha256,capture_start_time,date_tag
z7020_b02,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,10,run01,all640,all640,all,original,,,,,heldout_x36y35_all640_original,ok,,0.499624000,-0.000376000,0.000376000,0.998915501,682,0.445000000,0.055000000,499.624000,15.605083,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_original_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_original_run01_1000x125_strict_20260531.json,7F2E0061E8F2C41469905DACF30E748684D035892531729AC29EE2BC4BF50293,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,971FB75D35A0E245600F77A42E7D9C6675EE8F496E3CB2DA5033DC885846B587,2026-05-31 17:32:40,20260531
z7020_b02,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,10,run01,all640,all640,all,explore1,explore1,Explore,Explore,Explore,heldout_x36y35_all640_explore1,ok,,0.490577000,-0.009423000,0.009423000,0.973063997,187,0.555000000,0.055000000,490.577000,15.219332,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_explore1_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_explore1_run01_1000x125_strict_20260531.json,98878B8E62912F97F736808BCEF389B43DE1BFDFEA0E3A5C111D6A4E1BF2915E,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,EE8656CF8C1DC877ED0B75A19ED818A43DD76DCE5FD02676738AD8CBDA9EBD97,2026-05-31 17:43:27,20260531
z7020_b02,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,10,run01,data_ro0,data_ro,0,original,,,,,heldout_x36y35_data_ro0_original,ok,,0.298739000,-0.201261000,0.201261000,0.511976599,5,0.183000000,0.317000000,298.739000,9.723830,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_original_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_original_run01_1000x125_strict_20260531.json,66183F7FE20A95148494985E83C2AF9FC6449EC79C6D3C9D2E8DCEEFCD15CC62,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_ipreuse_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,1E26C3845AA637793C0BB219F57F6251C397504CAA7C268AB99E14D0790D493F,2026-05-31 17:51:47,20260531
z7020_b02,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,10,run01,data_ro0,data_ro,0,explore1,explore1,Explore,Explore,Explore,heldout_x36y35_data_ro0_explore1,ok,,0.297843000,-0.202157000,0.202157000,0.510134446,1,0.191000000,0.309000000,297.843000,11.554495,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531.json,5B76454A08423F0BCB0FEF4F66FFFB26EA2EB6C7E10821421A791C2D50BF13CC,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,1A9FCADC30963EC15BB074CB0868B4EA5AFADC2406932D70E481BC1F25E11F65,2026-05-31 17:58:09,20260531
z7020_b02,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,10,run01,data_ro4,data_ro,4,original,,,,,heldout_x36y35_data_ro4_original,ok,,0.395325000,-0.104675000,0.104675000,0.725768162,15,0.239000000,0.261000000,395.325000,7.095588,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_original_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_original_run01_1000x125_strict_20260531.json,7762A80050E2B07897AE7AD5B758D743AF3FB6FD97B01B6A1569CCDD005A0FC4,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,498B0E841FC9ADBDE9B45FB6FB9A193876BCF07020B52A3F30DB3AC0F7E965B5,2026-05-31 18:04:52,20260531
z7020_b02,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,10,run01,data_ro4,data_ro,4,explore1,explore1,Explore,Explore,Explore,heldout_x36y35_data_ro4_explore1,ok,,0.395775000,-0.104225000,0.104225000,0.726842218,0,0.248000000,0.252000000,395.775000,7.131085,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_explore1_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_explore1_run01_1000x125_strict_20260531.json,3516EA680EA4A7CFA5A63C52C836FCAA7AAB6FAAC81EDB9D8FDFE7C602E8A0D5,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,1787AB50C97C8C3C74B9689205CD3021EC82CAB06C3238EE8C2F56802ACFE29A,2026-05-31 18:10:50,20260531
z7020_b02,second_heldout_sample_ro_local,sample_ro_local,10,run01,all640,all640,all,original,,,,,sample_ro_local_all640_original,ok,,0.499545000,-0.000455000,0.000455000,0.998687744,710,0.438000000,0.062000000,499.545000,15.628627,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_original_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_original_run01_1000x125_strict_20260531.json,AD7241CFB858C5777A802C1F4B185AB25AACC9C60C8F8960B8E735445DB919C1,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,4804810AD6F481E021BBFC3A3FA639CC83B39EFF10BA6D89CF604169F85CBA84,2026-05-31 18:16:48,20260531
z7020_b02,second_heldout_sample_ro_local,sample_ro_local,10,run01,all640,all640,all,explore1,explore1,Explore,Explore,Explore,sample_ro_local_all640_explore1,ok,,0.499445000,-0.000555000,0.000555000,0.998399497,462,0.441000000,0.059000000,499.445000,16.120762,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_explore1_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_explore1_run01_1000x125_strict_20260531.json,35AFEC7E2D3C0158D6749A150E2F3AB56049DD7A6967692CE70AA888A65087D7,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,17F9037350EA2D95ACAF0BF927FBC6F0AE3AAD8AA2B3BE004B78ED9214EEC36C,2026-05-31 18:22:55,20260531
z7020_b02,second_heldout_sample_ro_local,sample_ro_local,10,run01,data_ro0,data_ro,0,original,,,,,sample_ro_local_data_ro0_original,ok,,0.268654000,-0.231346000,0.231346000,0.451373988,3,0.099000000,0.401000000,268.654000,9.795932,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_original_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_original_run01_1000x125_strict_20260531.json,B32D28A1FE8027DAB78262736A289A10E926CE2D7622B4A2473269FAD85EEDC4,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,1AE36B8528F7BEAE2F2B8CA0451B9CF500D1509BD606FEECF48465811D16E8F3,2026-05-31 18:28:15,20260531
z7020_b02,second_heldout_sample_ro_local,sample_ro_local,10,run01,data_ro0,data_ro,0,explore1,explore1,Explore,Explore,Explore,sample_ro_local_data_ro0_explore1,ok,,0.267883000,-0.232117000,0.232117000,0.449853870,2,0.065000000,0.435000000,267.883000,7.895651,125008,125000,True,1000,125,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531.bin,data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531.json,9A3B408765BC51A8255AFEC6D09C42323B08360D1E8F4ABCBF4677E52585964A,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,69BE884ABD450F022F30F5D3403DA9127C907236EB8029E78478C6F1DC532346,2026-05-31 18:33:02,20260531
