board,context,implementation,warmup,kind,index,p1,signed_bias,abs_bias,beta_factor,min_entropy,worst_x,worst_p1,source_file
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,all64,all,0.458617000,-0.041383000,0.041383,0.082766000,0.885278509,590,0.41,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,data_ro,0,0.191877000,-0.308123000,0.308123,0.616246000,0.3073532,897,0.103,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,data_ro,1,0.518915000,0.018915000,0.018915,-0.037830000,0.946429855,632,0.368,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,data_ro,2,0.244002000,-0.255998000,0.255998,0.511996000,0.403545677,847,0.153,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,data_ro,3,0.671833000,0.171833000,0.171833,-0.343666000,0.573825433,804,0.804,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,data_ro,4,0.424639000,-0.075361000,0.075361,0.150722000,0.797460661,807,0.193,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,data_ro,5,0.409454000,-0.090546000,0.090546,0.181092000,0.759878654,806,0.194,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,data_ro,6,0.375380000,-0.124620000,0.12462,0.249240000,0.67894933,839,0.161,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,data_ro,7,0.549958000,0.049958000,0.049958,-0.099916000,0.86260665,644,0.644,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b01,board1_w10_direction_map,w10_line_map_20260528,10,line,0,0.499648000,-0.000352000,0.000352000,0.000704000,0.998984700,652,0.348000000,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
