cohort,data_ro_bel_changed_vs_all640,data_ro_cells,data_ro_common_cells_vs_all640,data_ro_common_nets_vs_all640,data_ro_delay_arcs,data_ro_loc_changed_vs_all640,data_ro_nets,data_ro_pips,data_ro_route_changed_vs_all640,data_ro_slow_max_max_ps,data_ro_slow_max_mean_ps,dcp_exists,dcp_path,extract_complete,index,label,mode,neighborhood_rows,run_dir,run_dir_path,sample_ro_bel_changed_vs_all640,sample_ro_cells,sample_ro_common_cells_vs_all640,sample_ro_common_nets_vs_all640,sample_ro_delay_arcs,sample_ro_loc_changed_vs_all640,sample_ro_nets,sample_ro_pips,sample_ro_route_changed_vs_all640,sample_ro_slow_max_max_ps,sample_ro_slow_max_mean_ps,sampled_data_common_nets_vs_all640,sampled_data_delay_arcs,sampled_data_nets,sampled_data_pips,sampled_data_regs,sampled_data_regs_bel_changed_vs_all640,sampled_data_regs_common_cells_vs_all640,sampled_data_regs_loc_changed_vs_all640,sampled_data_route_changed_vs_all640,sampled_data_slow_max_max_ps,sampled_data_slow_max_mean_ps
heldout_sample_x36y35_regs_x45y31,0,16,16,64,384,0,64,16345,0,2794.000,1242.177,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,,heldout_all640,all640,99,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_header_delay60s,0,9,9,36,276,0,36,9285,0,2794.000,813.721,64,64,64,283,64,0,64,0,0,915.000,649.781
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16309,18,3072.000,1253.922,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_ipreuse_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,0,heldout_data_ro0,data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_ipreuse_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_ipreuse_header_delay60s,0,9,9,35,276,0,36,9290,17,3072.000,807.486,64,8,64,35,64,0,64,0,64,919.000,610.125
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16152,12,2595.000,1170.023,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro1_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,1,heldout_data_ro1,data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro1_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro1_header_delay60s,0,9,9,35,276,0,36,9204,23,2473.000,797.591,64,8,64,35,64,0,64,0,64,933.000,652.250
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16152,12,2595.000,1170.023,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro2_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,2,heldout_data_ro2,data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro2_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro2_header_delay60s,0,9,9,35,276,0,36,9204,23,2473.000,797.591,64,8,64,35,64,0,64,0,64,944.000,665.750
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16333,15,2595.000,1153.245,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro3_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,3,heldout_data_ro3,data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro3_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro3_header_delay60s,0,9,9,35,276,0,36,9291,23,2442.000,794.174,64,8,64,38,64,0,64,0,64,1043.000,712.000
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16317,15,2595.000,1153.245,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,4,heldout_data_ro4,data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_header_delay60s,0,9,9,35,276,0,36,9279,23,2442.000,777.587,64,8,64,38,64,0,64,0,64,1043.000,729.625
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16367,17,2890.000,1184.081,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro5_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,5,heldout_data_ro5,data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro5_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro5_header_delay60s,0,9,9,35,276,0,36,9321,17,2890.000,803.703,64,8,64,36,64,0,64,0,64,896.000,591.875
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16367,17,2890.000,1184.081,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro6_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,6,heldout_data_ro6,data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro6_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro6_header_delay60s,0,9,9,35,276,0,36,9321,17,2890.000,803.703,64,8,64,35,64,0,64,0,64,907.000,577.375
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16322,15,2595.000,1179.599,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro7_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,7,heldout_data_ro7,data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro7_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro7_header_delay60s,0,9,9,35,276,0,36,9274,20,2328.000,834.670,64,8,64,35,64,0,64,0,64,829.000,576.625
heldout_sample_x36y35_regs_x45y31,0,16,16,56,384,0,64,16223,20,3242.000,1269.812,True,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,0,heldout_except_data_ro0,except_data_ro,81,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s,0,9,9,35,278,0,36,9242,14,3242.000,781.162,64,72,64,314,64,0,64,0,23,939.000,664.986
