bram_tiles,cohort,dcp_exists,drc_critical_warning_count,drc_error_count,drc_violations,drc_warning_count,dsps,dynamic_power_w,fully_routed_nets,index,junction_temp_c,label,logical_nets,lut_as_logic,mode,reports_exist,routable_nets,routing_error_nets,run_dir,run_dir_path,slice_luts,slice_registers,static_power_w,ths_failing_endpoints,ths_ns,ths_total_endpoints,tns_failing_endpoints,tns_ns,tns_total_endpoints,total_on_chip_power_w,tpws_failing_endpoints,tpws_ns,tpws_total_endpoints,whs_ns,wns_ns,wpws_ns
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,650,,27.6,heldout_all640,981,348,all640,True,650,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_header_delay60s,349,365,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.106,0.373,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.115,580,0,27.6,heldout_data_ro0,970,337,data_ro,True,580,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_ipreuse_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_ipreuse_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.223,0,0.000,248,0.069,0.545,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,579,1,27.6,heldout_data_ro1,970,337,data_ro,True,579,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro1_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro1_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.088,0.636,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,579,2,27.6,heldout_data_ro2,970,337,data_ro,True,579,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro2_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro2_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.088,0.636,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,582,3,27.6,heldout_data_ro3,970,337,data_ro,True,582,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro3_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro3_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.221,0,0.000,248,0.093,0.810,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,582,4,27.6,heldout_data_ro4,970,337,data_ro,True,582,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.221,0,0.000,248,0.093,0.810,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.113,582,5,27.5,heldout_data_ro5,970,337,data_ro,True,582,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro5_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro5_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.221,0,0.000,248,0.083,0.469,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.113,582,6,27.5,heldout_data_ro6,970,337,data_ro,True,582,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro6_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro6_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.221,0,0.000,248,0.083,0.469,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.113,580,7,27.5,heldout_data_ro7,970,337,data_ro,True,580,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro7_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro7_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.221,0,0.000,248,0.093,0.846,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,651,0,27.6,heldout_except_data_ro0,985,351,except_data_ro,True,651,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s,352,366,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.121,0.594,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,649,1,27.6,heldout_except_data_ro1,985,351,except_data_ro,True,649,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro1_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro1_header_delay60s,352,366,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.118,0.580,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,651,2,27.6,heldout_except_data_ro2,985,352,except_data_ro,True,651,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro2_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro2_header_delay60s,353,366,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.118,0.447,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,651,3,27.6,heldout_except_data_ro3,985,351,except_data_ro,True,651,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro3_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro3_header_delay60s,352,366,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.057,0.457,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,651,4,27.6,heldout_except_data_ro4,985,351,except_data_ro,True,651,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro4_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro4_header_delay60s,352,366,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.096,0.528,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,652,5,27.6,heldout_except_data_ro5,985,352,except_data_ro,True,652,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro5_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro5_header_delay60s,353,366,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.121,0.618,1.646
0.5,heldout_sample_x36y35_regs_x45y31,True,0,0,31,31,0,0.114,652,6,27.6,heldout_except_data_ro6,985,351,except_data_ro,True,652,0,restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro6_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_except_data_ro6_header_delay60s,352,366,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.118,0.360,1.646
