row_id,board,route_label,result_case,warmup,observed_p1,observed_abs_bias,sample_ro_pips,sampled_data_pips,data_ro_pips,total_pips_audited,sample_to_data_pip_ratio,neighborhood_rows,correlation_scope,limitation,route_source,result_source
board1_compact_w11_baseline,z7020_b01,compact_w11_baseline,compact baseline,11,0.498286500,0.001713500,9251,282,16456,25989,0.562165775,241,route/result join by label and warmup where available,,data\experiments\sample_ro_route_diff_20260528\sample_ro_route_evidence_summary_20260528.csv,data\experiments\sample_ro_balanced_repeats_20260528\sample_ro_balanced_repeats_aggregate_20260528.csv
board1_compact_w4_baseline,z7020_b01,compact_w4_baseline,compact baseline,4,0.498812000,0.001188000,9241,282,16469,25992,0.561114822,241,route/result join by label and warmup where available,,data\experiments\sample_ro_route_diff_20260528\sample_ro_route_evidence_summary_20260528.csv,data\experiments\sample_ro_balanced_repeats_20260528\sample_ro_balanced_repeats_aggregate_20260528.csv
board1_compact_w5_baseline,z7020_b01,compact_w5_baseline,compact baseline,5,0.498796000,0.001204000,9270,282,16496,26048,0.561954413,241,route/result join by label and warmup where available,,data\experiments\sample_ro_route_diff_20260528\sample_ro_route_evidence_summary_20260528.csv,data\experiments\sample_ro_balanced_repeats_20260528\sample_ro_balanced_repeats_aggregate_20260528.csv
board1_formal_w4_baseline,z7020_b01,formal_w4_baseline,compact baseline,4,0.498812000,0.001188000,9212,282,16382,25876,0.562324503,233,route/result join by label and warmup where available,,data\experiments\sample_ro_route_diff_20260528\sample_ro_route_evidence_summary_20260528.csv,data\experiments\sample_ro_balanced_repeats_20260528\sample_ro_balanced_repeats_aggregate_20260528.csv
board1_forward_w11_formal_sample,z7020_b01,forward_w11_formal_sample,forward fail,11,0.462977000,0.037023000,9261,282,16464,26007,0.562500000,234,route/result join by label and warmup where available,,data\experiments\sample_ro_route_diff_20260528\sample_ro_route_evidence_summary_20260528.csv,data\experiments\sample_ro_balanced_repeats_20260528\sample_ro_balanced_repeats_aggregate_20260528.csv
board1_forward_w4_formal_sample,z7020_b01,forward_w4_formal_sample,forward fail,4,0.377401333,0.122598667,9240,282,16438,25960,0.562112179,233,route/result join by label and warmup where available,,data\experiments\sample_ro_route_diff_20260528\sample_ro_route_evidence_summary_20260528.csv,data\experiments\sample_ro_balanced_repeats_20260528\sample_ro_balanced_repeats_aggregate_20260528.csv
board1_forward_w5_formal_sample,z7020_b01,forward_w5_formal_sample,forward fail,5,0.372907333,0.127092667,9261,282,16478,26021,0.562022090,233,route/result join by label and warmup where available,,data\experiments\sample_ro_route_diff_20260528\sample_ro_route_evidence_summary_20260528.csv,data\experiments\sample_ro_balanced_repeats_20260528\sample_ro_balanced_repeats_aggregate_20260528.csv
board1_reverse_w4_compact_sample,z7020_b01,reverse_w4_compact_sample,reverse repair,4,0.499535000,0.000465000,8694,259,16104,25057,0.539865872,551,route/result join by label and warmup where available,,data\experiments\sample_ro_route_diff_20260528\sample_ro_route_evidence_summary_20260528.csv,data\experiments\sample_ro_balanced_repeats_20260528\sample_ro_balanced_repeats_aggregate_20260528.csv
heldout_heldout_w10_sample_x36y35,z7020_b02_capture_context,heldout_w10_sample_x36y35,heldout reduced-XOR all640,10,0.500718000,0.000718000,9285,283,16345,25913,0.568063628,99,held-out all640 route audit with companion per-subset audit available,all640 context-level row; see per-bitstream rows for reduced-XOR subset route features,data\experiments\heldout_sampler_route_diff_20260530\sample_ro_route_evidence_summary_20260528.csv,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
heldout_orig_w10_sampler_island,z7020_b02_capture_context,orig_w10_sampler_island,original w10 all640 comparator,10,0.360614000,0.139386000,9297,284,16264,25845,0.571630595,168,held-out all640 route audit with companion per-subset audit available,all640 context-level row; see per-bitstream rows for reduced-XOR subset route features,data\experiments\heldout_sampler_route_diff_20260530\sample_ro_route_evidence_summary_20260528.csv,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
route_lock_restart_fifo_compact_diag_scompact_w4_data_sampled_fixed_route_1000x125,z7020_b01,compact_w4_data_sampled,,4,,,,,,96,,,implementation feasibility metric only,hardware_gate=DO_NOT_PROGRAM; gate_reason=no_bitstream; applied_ratio=0.000000,data\experiments\route_lock_20260528\route_lock_feasibility_20260528\route_lock_feasibility_20260528.csv,
route_lock_restart_fifo_compact_diag_scompact_w4_sampled_bel_routes_fixed_1000x125,z7020_b01,compact_w4_sampled_data,,4,,,,,,64,,,implementation feasibility metric only,hardware_gate=DO_NOT_PROGRAM; gate_reason=no_bitstream; applied_ratio=0.000000,data\experiments\route_lock_20260528\route_lock_feasibility_20260528\route_lock_feasibility_20260528.csv,
route_lock_restart_fifo_compact_diag_scompact_w4_sampled_bel_routes_fixed_v2_1000x125,z7020_b01,compact_w4_sampled_data,,4,,,,,,64,,,implementation feasibility metric only,hardware_gate=DO_NOT_PROGRAM; gate_reason=no_bitstream; applied_ratio=0.000000,data\experiments\route_lock_20260528\route_lock_feasibility_20260528\route_lock_feasibility_20260528.csv,
route_lock_restart_fifo_compact_diag_scompact_w4_sampled_data_fixed_route_1000x125,z7020_b01,compact_w4_sampled_data,,4,,,,,,64,,,implementation feasibility metric only,hardware_gate=DO_NOT_PROGRAM; gate_reason=no_bitstream; applied_ratio=0.000000,data\experiments\route_lock_20260528\route_lock_feasibility_20260528\route_lock_feasibility_20260528.csv,
route_lock_restart_fifo_compact_diag_scompact_w4_sampled_regs_data_fixed_route_1000x125,z7020_b01,compact_w4_sampled_regs_and_data,,4,,,,,,64,,,implementation feasibility metric only,hardware_gate=DO_NOT_PROGRAM; gate_reason=no_bitstream; applied_ratio=0.000000,data\experiments\route_lock_20260528\route_lock_feasibility_20260528\route_lock_feasibility_20260528.csv,
route_lock_sampled_regs_data_on_existing_physopt,z7020_b01,dryrun,,,,,,,,64,,,implementation feasibility metric only,hardware_gate=DO_NOT_PROGRAM; gate_reason=probe_source_failed; applied_ratio=0.000000,data\experiments\route_lock_20260528\route_lock_feasibility_20260528\route_lock_feasibility_20260528.csv,
route_lock_sampled_routes_only_on_existing_physopt,z7020_b01,dryrun,,,,,,,,64,,,implementation feasibility metric only,hardware_gate=DO_NOT_PROGRAM; gate_reason=insufficient_route_lock_coverage; applied_ratio=0.265625,data\experiments\route_lock_20260528\route_lock_feasibility_20260528\route_lock_feasibility_20260528.csv,
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_1,,heldout_all640,,,,,9285,283,16345,,,99,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_2,,heldout_data_ro0,,,,,9290,35,16309,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_3,,heldout_data_ro1,,,,,9204,35,16152,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_4,,heldout_data_ro2,,,,,9204,35,16152,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_5,,heldout_data_ro3,,,,,9291,38,16333,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_6,,heldout_data_ro4,,,,,9279,38,16317,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_7,,heldout_data_ro5,,,,,9321,36,16367,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_8,,heldout_data_ro6,,,,,9321,35,16367,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_9,,heldout_data_ro7,,,,,9274,35,16322,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_10,,heldout_except_data_ro0,,,,,9242,314,16223,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_11,,heldout_except_data_ro1,,,,,9154,324,16048,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_12,,heldout_except_data_ro2,,,,,9252,316,16246,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_13,,heldout_except_data_ro3,,,,,9154,312,16071,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_14,,heldout_except_data_ro4,,,,,9295,320,16311,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_15,,heldout_except_data_ro5,,,,,9315,317,16332,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
per_bitstream_route_audit_heldout_per_bitstream_route_audit_20260530_16,,heldout_except_data_ro6,,,,,9317,323,16346,,,81,per-bitstream route audit as provided,schema-normalized optional input,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv,data\experiments\heldout_sampler_route_diff_20260530\heldout_per_bitstream_route_audit_20260530.csv
