"capture_id","context","anchor","implementation","moment","xadc_status","xadc_timestamp","temperature_c","vccint_v","vccaux_v","vccbram_v","vpvn_v","physical_validity","source_file","error"
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_original_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","all640","original","before","parse_failed","","","","","","","invalid_missing","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv","The property 'Count' cannot be found on this object. Verify that the property exists."
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_original_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","all640","original","after","ok","2026-05-31 17:40:36","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_explore1_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","all640","explore1","before","ok","2026-05-31 17:43:02","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_explore1_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","all640","explore1","after","ok","2026-05-31 17:49:00","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_original_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","data_ro0","original","before","ok","2026-05-31 17:51:23","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_original_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","data_ro0","original","after","ok","2026-05-31 17:55:57","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","data_ro0","explore1","before","ok","2026-05-31 17:57:46","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","data_ro0","explore1","after","ok","2026-05-31 18:02:30","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_original_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","data_ro4","original","before","ok","2026-05-31 18:04:29","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_original_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","data_ro4","original","after","ok","2026-05-31 18:09:04","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_explore1_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","data_ro4","explore1","before","ok","2026-05-31 18:10:29","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_explore1_run01_1000x125_strict_20260531","heldout_sample_x36y35_regs_x45y31","data_ro4","explore1","after","ok","2026-05-31 18:14:40","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_original_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","all640","original","before","ok","2026-05-31 18:16:25","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_original_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","all640","original","after","ok","2026-05-31 18:20:41","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_explore1_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","all640","explore1","before","ok","2026-05-31 18:22:32","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_explore1_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","all640","explore1","after","ok","2026-05-31 18:26:29","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_original_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","data_ro0","original","before","ok","2026-05-31 18:27:54","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_original_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","data_ro0","original","after","ok","2026-05-31 18:31:18","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","data_ro0","explore1","before","ok","2026-05-31 18:32:40","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","data_ro0","explore1","after","ok","2026-05-31 18:36:21","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro4_original_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","data_ro4","original","before","ok","2026-05-31 18:37:39","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro4_original_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","data_ro4","original","after","ok","2026-05-31 18:41:29","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro4_explore1_run01_1000x125_strict_20260531","second_heldout_sample_ro_local","data_ro4","explore1","before","ok","2026-05-31 18:42:46","-273.1","0.000","0.000","0.000","","invalid_sentinel_temperature","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\xadc_readings.csv",""
