dataset,tool,mode,bits_per_symbol,limit_symbols,h_original_bits_per_symbol,iid_chi_square,iid_lrs,status,log
original_fpga1_run01_10mib,ea_iid,bit-symbols-msb,1,1000000,0.995802,pass,fail,iid_failed,data\sp800_90b\results_smoke_20260514\original_fpga1_run01_10mib_bps1_msb_iid_1m.log
random1_run01,ea_iid,bit-symbols-msb,1,1000000,0.588813,fail,fail,iid_failed,data\sp800_90b\results_smoke_20260514\random1_run01_bps1_msb_iid_1m.log
random3_run01,ea_iid,bit-symbols-msb,1,1000000,0.995676,pass,fail,iid_failed,data\sp800_90b\results_smoke_20260514\random3_run01_bps1_msb_iid_1m.log
checker_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.865884,,,ok,data\sp800_90b\results_smoke_20260514\checker_run01_bps1_lsb_non_iid_1m.log
compact_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.834591,,,ok,data\sp800_90b\results_smoke_20260514\compact_run01_bps1_lsb_non_iid_1m.log
cross_region_run02,ea_non_iid,bit-symbols-lsb,1,1000000,0.861193,,,ok,data\sp800_90b\results_smoke_20260514\cross_region_run02_bps1_lsb_non_iid_1m.log
far_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.847848,,,ok,data\sp800_90b\results_smoke_20260514\far_run01_bps1_lsb_non_iid_1m.log
original_fpga1_run01_10mib,ea_non_iid,bit-symbols-lsb,1,1000000,0.821566,,,ok,data\sp800_90b\results_smoke_20260514\original_fpga1_run01_10mib_bps1_lsb_non_iid_1m.log
random1_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.383737,,,ok,data\sp800_90b\results_smoke_20260514\random1_run01_bps1_lsb_non_iid_1m.log
random2_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.824495,,,ok,data\sp800_90b\results_smoke_20260514\random2_run01_bps1_lsb_non_iid_1m.log
random3_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.828444,,,ok,data\sp800_90b\results_smoke_20260514\random3_run01_bps1_lsb_non_iid_1m.log
row_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.770955,,,ok,data\sp800_90b\results_smoke_20260514\row_run01_bps1_lsb_non_iid_1m.log
same_column_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.834502,,,ok,data\sp800_90b\results_smoke_20260514\same_column_run01_bps1_lsb_non_iid_1m.log
sparse_run01,ea_non_iid,bit-symbols-lsb,1,1000000,0.742313,,,ok,data\sp800_90b\results_smoke_20260514\sparse_run01_bps1_lsb_non_iid_1m.log
checker_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.863144,,,ok,data\sp800_90b\results_smoke_20260514\checker_run01_bps1_msb_non_iid_1m.log
compact_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.872029,,,ok,data\sp800_90b\results_smoke_20260514\compact_run01_bps1_msb_non_iid_1m.log
cross_region_run02,ea_non_iid,bit-symbols-msb,1,1000000,0.818336,,,ok,data\sp800_90b\results_smoke_20260514\cross_region_run02_bps1_msb_non_iid_1m.log
far_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.820724,,,ok,data\sp800_90b\results_smoke_20260514\far_run01_bps1_msb_non_iid_1m.log
original_fpga1_run01_10mib,ea_non_iid,bit-symbols-msb,1,1000000,0.834723,,,ok,data\sp800_90b\results_smoke_20260514\original_fpga1_run01_10mib_bps1_msb_non_iid_1m.log
random1_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.385385,,,ok,data\sp800_90b\results_smoke_20260514\random1_run01_bps1_msb_non_iid_1m.log
random2_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.863906,,,ok,data\sp800_90b\results_smoke_20260514\random2_run01_bps1_msb_non_iid_1m.log
random3_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.869064,,,ok,data\sp800_90b\results_smoke_20260514\random3_run01_bps1_msb_non_iid_1m.log
row_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.783063,,,ok,data\sp800_90b\results_smoke_20260514\row_run01_bps1_msb_non_iid_1m.log
same_column_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.834068,,,ok,data\sp800_90b\results_smoke_20260514\same_column_run01_bps1_msb_non_iid_1m.log
sparse_run01,ea_non_iid,bit-symbols-msb,1,1000000,0.734432,,,ok,data\sp800_90b\results_smoke_20260514\sparse_run01_bps1_msb_non_iid_1m.log
